Microbe,Mean_Diff,P-value,Test_Statistic,Distributions_Similar,Shapes_Similar,Recommendation,Corrected_P_value
Peptoniphilus,-1.5105854426362343e-05,0.6715838022528133,5660.0,True,True,Mann-Whitney assumptions satisfied,0.8650073156309008
Peptostreptococcus,0.0013775525881112183,0.23593688809189572,6055.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Plantibacter,-1.413183088168899e-05,0.22840589225427121,4814.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Polaromonas,6.653805324323739e-06,0.4396458415288397,5841.0,True,True,Mann-Whitney assumptions satisfied,0.7677319565540665
Polynucleobacter,0.00020382950170344017,0.24755995467631053,6040.0,True,True,Mann-Whitney assumptions satisfied,0.6660482254966377
Porphyromonas,-0.003759776631431542,0.5210391019255974,5106.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Prauserella,-1.1889975115242696e-05,0.06799784589274391,4492.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Prevotella,-0.01854080647682685,0.11626724709863859,4624.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Prevotellaceae UCG-001,-1.2929456796557297e-05,0.10590251305225691,4600.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Prevotellaceae UCG-003,-1.1876121359517643e-05,0.5605649944318971,5137.0,True,True,Mann-Whitney assumptions satisfied,0.7887595939351473
Prevotellaceae UCG-004,-5.074013108292269e-07,0.534898565898187,5762.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Pseudomonas,0.00011422255697922758,0.20546134620551237,6097.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Pseudonocardia,6.1650360389532745e-06,0.7681042113891734,5286.0,True,True,Mann-Whitney assumptions satisfied,0.8980041883152836
Ralstonia,0.0008391254968559778,0.29892587369188306,5979.0,True,True,Mann-Whitney assumptions satisfied,0.6989590281913147
Rodentibacter,8.396126272979947e-05,0.3996932592122633,5877.0,True,True,Mann-Whitney assumptions satisfied,0.7677319565540665
Romboutsia,-3.791521118161269e-06,0.8306134771712173,5551.0,True,True,Mann-Whitney assumptions satisfied,0.9467546529572103
Roseburia,-1.3942069978420976e-05,0.9707911448200939,5420.0,True,True,Mann-Whitney assumptions satisfied,0.9953870706115624
Rothia,0.0072538462435385136,0.6758053904416336,5222.0,True,True,Mann-Whitney assumptions satisfied,0.8650073156309008
Ruminobacter,-3.0270020993892083e-06,0.640948629362329,5682.0,True,True,Mann-Whitney assumptions satisfied,0.8492569339050858
Selenomonas,-0.001516440946673591,0.5061333831911164,5094.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Sideroxydans,-2.3733148712194426e-05,0.04978000879292102,6458.0,True,False,Consider permutation test instead of Mann-Whitney,0.6509787028351307
Snodgrassella,6.75298130362285e-05,0.15495527602921932,6178.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Staphylococcus,0.00021117498406342098,0.6956393538718846,5236.0,True,True,Mann-Whitney assumptions satisfied,0.8778306132192829
Stenoxybacter,2.6460020776246243e-05,0.17919720477207945,6137.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Stomatobaculum,-0.0011882692925304066,0.1767147859859397,4738.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Streptococcus,0.01106737666341922,0.8683648616365435,5353.0,True,True,Mann-Whitney assumptions satisfied,0.9604944660873068
Streptomyces,-4.123663388492328e-05,0.11360418067982903,4618.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Sulfuricella,2.9948615184450804e-05,0.12502477090991773,6236.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Sulfuritalea,9.223138026406e-05,0.7359261066070861,5264.0,True,True,Mann-Whitney assumptions satisfied,0.8832668535314948
Sutterella,3.951630361955592e-05,0.07655062514465849,6359.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
TM7a,-0.00028322592382278803,0.7359261066070861,5615.0,True,True,Mann-Whitney assumptions satisfied,0.8832668535314948
TM7x,-0.00010539322046462492,0.9400879954780753,5400.0,True,True,Mann-Whitney assumptions satisfied,0.9927934954410874
Tannerella,7.665588969300212e-06,0.19999640617055026,6105.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Tetrasphaera,6.923429830366485e-05,0.5311003505581924,5765.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Treponema,-0.00038318144943182803,0.34011173592735744,4944.0,True,True,Mann-Whitney assumptions satisfied,0.7307806217898626
Tyzzerella,-2.9121597263241016e-05,0.2306469914630157,4817.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
UCG-004,-1.8955571367951628e-06,0.7977096533638685,5306.0,True,True,Mann-Whitney assumptions satisfied,0.9258090137580662
UCG-005,-8.280420297631146e-06,0.6631717468285756,5213.0,True,True,Mann-Whitney assumptions satisfied,0.8650073156309008
Veillonella,-0.007832432315459326,0.2711540863464319,4868.0,True,True,Mann-Whitney assumptions satisfied,0.6736484332669167
ZOR0006,3.1137818412749975e-05,0.19864690907794313,6107.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
hgcI clade,1.7949992399365796e-06,0.027477137864607683,4295.0,False,False,Consider permutation test instead of Mann-Whitney,0.6509787028351307
